dimension,half_steps_M,base_h,later_steps_N,total_steps,requested_delta,achieved_delta,relative_delta_error,target_variance,euler_variance,kl_target_to_euler,max_schedule_identity_residual,last_step
1,8,0.0625,11,19,0.25,0.25665615182924506,0.026624607316980242,0.4474399233866936,0.47600326386330905,0.0009379127123934038,5.551115123125783e-17,0.01604100948932785
1,8,0.0625,23,31,0.125,0.12399506874691113,0.008039450024710959,0.2326153604202711,0.24729347571667729,0.0009172358154069422,5.551115123125783e-17,0.007749691796681946
1,8,0.0625,34,42,0.0625,0.06364819438076974,0.018371110092315845,0.12324529611360724,0.13098492482095397,0.000908828607267171,5.551115123125783e-17,0.003978012148798116
1,8,0.0625,46,54,0.03125,0.03074955414710201,0.016014267292735695,0.06055357321395849,0.06434676021441307,0.0009044763876875916,1.5959455978986625e-16,0.0019218471341939658
1,16,0.03125,23,39,0.25,0.24637627711620247,0.014494891535190124,0.4320512843067651,0.44569108433940147,0.0002390363204201225,5.551115123125783e-17,0.007699258659881303
1,16,0.03125,45,61,0.125,0.1251963692216319,0.0015709537730552725,0.2347186075769846,0.24208924905198848,0.0002365530123797973,5.551115123125783e-17,0.003912386538176049
1,16,0.03125,68,84,0.0625,0.06169083071458237,0.012946708566682119,0.11957590283490949,0.12332131429491014,0.00023537995420896442,5.551115123125783e-17,0.0019278384598306886
1,16,0.03125,90,106,0.03125,0.031348261732558336,0.0031443754418667424,0.061713809951463694,0.06364460383714841,0.00023484711819766503,5.551115123125783e-17,0.0009796331791424029
1,32,0.015625,45,77,0.25,0.24886727054022106,0.0045309178391157445,0.4357996227343025,0.442644266151551,6.040016321657172e-05,5.551115123125783e-17,0.0038885511021909958
1,32,0.015625,89,121,0.125,0.1258053028905961,0.006442423124768837,0.23578363154579762,0.2394767648577023,6.007547360482781e-05,5.551115123125783e-17,0.0019657078576655884
1,32,0.015625,134,166,0.0625,0.06261764469973707,0.0018823151957931827,0.12131431997173159,0.1232120893638003,5.9925076093255564e-05,5.551115123125783e-17,0.000978400698433357
1,32,0.015625,179,211,0.03125,0.03116696464816182,0.002657131258821721,0.061362549610943895,0.06232189268661102,5.985388080022563e-05,5.551115123125783e-17,0.00048698382262757356
1,64,0.0078125,89,153,0.25,0.25013420631404637,0.0005368252561854803,0.4377012914597348,0.4411297428370225,1.5179618466293517e-05,5.551115123125783e-17,0.00195417348682847
1,64,0.0078125,178,242,0.125,0.12513424233671588,0.0010739386937270723,0.23460990606824783,0.23644502586105434,1.5137805092036577e-05,5.551115123125783e-17,0.0009776112682555738
1,64,0.0078125,267,331,0.0625,0.06260070877920798,0.0016113404673276932,0.12128256881875676,0.12223064696175986,1.5118930681407971e-05,5.551115123125783e-17,0.0004890680373376144
1,64,0.0078125,356,420,0.03125,0.03131715721036821,0.0021490307317826307,0.06165355008499751,0.0621353581133976,1.5109942477024938e-05,5.551115123125783e-17,0.0002446652907059921
1,128,0.00390625,178,306,0.25,0.24979737879833142,0.0008104848066743386,0.4371960271421458,0.43890604572763087,3.8047700426249807e-06,5.551115123125783e-17,0.000975771010930937
1,128,0.00390625,356,484,0.125,0.1247974609090341,0.0016203127277272245,0.23402051556872627,0.23493521270885784,3.7995092801936144e-06,5.551115123125783e-17,0.0004874900816759231
1,128,0.00390625,533,661,0.0625,0.06259170472071318,0.0014672755314109054,0.12126568794158143,0.12173952151915139,3.797145429449561e-06,5.551115123125783e-17,0.00024449884656529974
1,128,0.00390625,711,839,0.03125,0.0312704875475065,0.0006556015202079379,0.06156313170355421,0.06180364750128111,3.7960120098043133e-06,5.551115123125783e-17,0.00012215034198248542
