dimension,steps,h,delta,stopped_steps,epsilon,h1_full_horizon_error,target_variance,euler_variance,mean_norm_sq,kl_target_to_euler,conditional_score_l8_to_four,theorem_factor,h3_full_joint_holds,h4_conditional_holds
1,16,0.0625,0.375,10,0.0,0.0,0.609375,0.6663562755024419,0.0,0.0019394537881196258,10.246950765959598,60.814852000527495,False,True
1,16,0.0625,0.375,10,0.02,0.0004,0.609375,0.6663562755024419,6.024425776148664e-05,0.0019846580279357026,10.246950765959598,60.814852000527495,False,True
1,16,0.0625,0.375,10,0.08,0.0064,0.609375,0.6663562755024419,0.0009639081241837863,0.0026627216251764105,10.246950765959598,60.814852000527495,False,True
1,16,0.0625,0.25,12,0.0,0.0,0.4375,0.5011583446677521,0.0,0.0044114923590027055,10.246950765959598,266.2469507659596,False,True
1,16,0.0625,0.25,12,0.02,0.0004,0.4375,0.5011583446677521,5.51228780194242e-05,0.004466487829601823,10.246950765959598,266.2469507659596,False,True
1,16,0.0625,0.25,12,0.08,0.0064,0.4375,0.5011583446677521,0.0008819660483107872,0.0052914198885896935,10.246950765959598,266.2469507659596,False,True
1,16,0.0625,0.125,14,0.0,0.0,0.234375,0.30584514172249366,0.0,0.016237845087100244,10.246950765959598,4106.24695076596,False,True
1,16,0.0625,0.125,14,0.02,0.0004,0.234375,0.30584514172249366,3.3588660406546964e-05,0.016292756308212586,10.246950765959598,4106.24695076596,False,True
1,16,0.0625,0.125,14,0.08,0.0064,0.234375,0.30584514172249366,0.0005374185665047514,0.01711642462489843,10.246950765959598,4106.24695076596,False,True
1,16,0.0625,0.0625,15,0.0,0.0,0.12109375,0.20146128543062342,0.0,0.055054608294202834,10.246950765959598,65546.24695076596,False,True
1,16,0.0625,0.0625,15,0.02,0.0004,0.12109375,0.20146128543062342,1.7204130705477345e-05,0.05509730664855095,10.246950765959598,65546.24695076596,False,True
1,16,0.0625,0.0625,15,0.08,0.0064,0.12109375,0.20146128543062342,0.00027526609128763753,0.05573778196377227,10.246950765959598,65546.24695076596,False,True
1,32,0.03125,0.375,20,0.0,0.0,0.609375,0.6370515571631968,0.0,0.0004859899576381728,10.246950765959598,60.814852000527495,False,True
1,32,0.03125,0.375,20,0.02,0.0004,0.609375,0.6370515571631968,5.7081936731636924e-05,0.0005307916193637748,10.246950765959598,60.814852000527495,False,True
1,32,0.03125,0.375,20,0.08,0.0064,0.609375,0.6370515571631968,0.0009133109877061908,0.0012028165452484148,10.246950765959598,60.814852000527495,False,True
1,32,0.03125,0.25,24,0.0,0.0,0.4375,0.4680745926949173,0.0,0.001115524167486219,10.246950765959598,266.2469507659596,False,True
1,32,0.03125,0.25,24,0.02,0.0004,0.4375,0.4680745926949173,5.14367271345614e-05,0.001170469178321358,10.246950765959598,266.2469507659596,False,True
1,32,0.03125,0.25,24,0.08,0.0064,0.4375,0.4680745926949173,0.0008229876341529824,0.0019946443408486655,10.246950765959598,266.2469507659596,False,True
1,32,0.03125,0.125,28,0.0,0.0,0.234375,0.2677045892168133,0.0,0.004230161332013177,10.246950765959598,4106.24695076596,False,True
1,32,0.03125,0.125,28,0.02,0.0004,0.234375,0.2677045892168133,3.0082807866731676e-05,0.004286347906839433,10.246950765959598,4106.24695076596,False,True
1,32,0.03125,0.125,28,0.08,0.0064,0.234375,0.2677045892168133,0.0004813249258677068,0.005129146529233436,10.246950765959598,4106.24695076596,False,True
1,32,0.03125,0.0625,30,0.0,0.0,0.12109375,0.1572039250819811,0.0,0.01563802595265318,10.246950765959598,65546.24695076596,False,True
