dimension,s,x,coupling_mean,coupling_sigma,direct_third_derivative_integral,transferred_second_derivative_score_integral,analytic_convolution_derivative,direct_transfer_absolute_residual,direct_analytic_absolute_residual,quadrature_error_bound_sum,kernel_order_before,kernel_order_after,coupling_score_order,all_index_triplets,prior_displayed_leading_monomial,current_displayed_factor,prior_displayed_factor
1,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,1,1,20.595917942265423,526
1,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,1,1,20.595917942265423,526
1,0.4,1.1,-0.4,1.5,-0.057624927276605266,-0.05762492727660529,-0.05762492727660529,2.0816681711721685e-17,2.0816681711721685e-17,7.168337339384442e-13,3,2,1,1,1,20.595917942265423,526
2,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,8,16,95.63560920082658,1936
2,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,8,16,95.63560920082658,1936
2,0.4,1.1,-0.4,1.5,-0.057624927276605266,-0.05762492727660529,-0.05762492727660529,2.0816681711721685e-17,2.0816681711721685e-17,7.168337339384442e-13,3,2,1,8,16,95.63560920082658,1936
4,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,64,256,527.724055878062,9856
4,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,64,256,527.724055878062,9856
4,0.4,1.1,-0.4,1.5,-0.057624927276605266,-0.05762492727660529,-0.05762492727660529,2.0816681711721685e-17,2.0816681711721685e-17,7.168337339384442e-13,3,2,1,64,256,527.724055878062,9856
8,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,512,4096,3359.8202190447346,71296
8,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,512,4096,3359.8202190447346,71296
8,0.4,1.1,-0.4,1.5,-0.057624927276605266,-0.05762492727660529,-0.05762492727660529,2.0816681711721685e-17,2.0816681711721685e-17,7.168337339384442e-13,3,2,1,512,4096,3359.8202190447346,71296
16,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,4096,65536,23615.89508168525,699136
16,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,4096,65536,23615.89508168525,699136
16,0.4,1.1,-0.4,1.5,-0.057624927276605266,-0.05762492727660529,-0.05762492727660529,2.0816681711721685e-17,2.0816681711721685e-17,7.168337339384442e-13,3,2,1,4096,65536,23615.89508168525,699136
32,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,32768,1048576,176255.9429081064,8490496
32,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,32768,1048576,176255.9429081064,8490496
32,0.4,1.1,-0.4,1.5,-0.057624927276605266,-0.05762492727660529,-0.05762492727660529,2.0816681711721685e-17,2.0816681711721685e-17,7.168337339384442e-13,3,2,1,32768,1048576,176255.9429081064,8490496
64,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,262144,16777216,1360127.9701562133,117308416
64,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,262144,16777216,1360127.9701562133,117308416
64,0.4,1.1,-0.4,1.5,-0.057624927276605266,-0.05762492727660529,-0.05762492727660529,2.0816681711721685e-17,2.0816681711721685e-17,7.168337339384442e-13,3,2,1,262144,16777216,1360127.9701562133,117308416
128,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,2097152,268435456,10682879.984733734,1740077056
128,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,2097152,268435456,10682879.984733734,1740077056
128,0.4,1.1,-0.4,1.5,-0.057624927276605266,-0.05762492727660529,-0.05762492727660529,2.0816681711721685e-17,2.0816681711721685e-17,7.168337339384442e-13,3,2,1,2097152,268435456,10682879.984733734,1740077056
256,0.1,0.7,-0.3,1.2,-0.20409661902112286,-0.20409661902112308,-0.204096619021123,2.220446049250313e-16,1.3877787807814457e-16,1.4565119767766024e-12,3,2,1,16777216,4294967296,84673535.99227811,26790916096
256,0.25,-0.9,0.2,0.8,0.3606178348277375,0.36061783482773757,0.3606178348277375,5.551115123125783e-17,0.0,3.0623238049152017e-13,3,2,1,16777216,4294967296,84673535.99227811,26790916096
